Iter Vrad Vrot Dist Av EEP initial_[Fe/H] initial_[a/Fe] initial_Mass pc_0 pc_1 pc_2 pc_3 Inst_R Teff log(g) log(R) [Fe/H] [a/Fe] log(Age) Mass log(L) Agewgt log(lk) log(vol) log(wt) h nc log(z) delta(log(z))
0 -19.28237564813195 9.63473041476427 31.57699502975616 0.2681075887815772 786.0694795992694 -3.4894576126574584 -0.17717110067511632 1.0915264178245698 0.7560432045919322 0.15259242349576568 0.05960017924550928 -0.026195826604732894 20000.0 4830.507263219778 1.4083250501611668 1.5305397344502585 -3.4893872959843 -0.17109513000852677 9.633897174338962 1.0754356588008822 2.7505327538250044 9.62823151899752e-07 -8938729.107807964 -0.009950330853168092 -8938734.416075662 5.305669089779258 1 -8938734.416075662 1e+300 
1 -19.40460833162779 8.117552280534275 64.22171690605492 0.1722973623225802 438.46759260281465 -1.1737353772512162 -0.1328212869854551 0.7952527983569521 0.6981955852457475 0.2159012396727117 -0.0734825771515017 0.025167074887774032 20000.0 6411.918986729411 4.135567478810617 0.10122606541868077 -1.3890801632006875 -0.08635404728484382 10.067731951129941 0.7947062992130934 0.38388656391527876 0.0002793231864092672 -8235733.878459022 -0.019900661706336184 -8235739.196677051 5.318889416754246 2 -8235739.196677051 8937296.597187802 
2 -14.849411949281704 5.748156392332319 85.09187973836248 0.0940941946092288 600.0975336049867 -2.8439730309490185 0.18323236053946007 1.1933367736080922 1.8965230041111778 0.025140045795121746 0.04148609046236115 -0.00586060090068978 20000.0 4651.216713098269 1.1300225174226113 1.6901299418775846 -2.837526788203674 0.18956298945253836 9.497607622362198 1.1815179286459903 3.004008510723635 5.014081191824645e-06 -8142753.550595141 -0.029850992559504276 -8142758.8787635 5.33186318166554 2 -8142758.8787635 8234301.3678388605 
3 0.7908007830959569 1.0895590207145878 38.11510098428354 0.4450710482601695 788.8333178374772 -3.1369156033210595 0.022916153304433362 0.7922142574472404 0.9473577110025129 0.1644042847962876 0.06590055799794364 0.006087734376676181 20000.0 4798.922245516349 1.3311923659860119 1.4949270238346388 -3.162697190763536 0.0316878521684063 10.093710456725802 0.7643533086780866 2.667911228115915 4.5760897636363556e-07 -6453011.755267094 -0.03980132341267237 -6453017.093385784 5.337438988499343 1 -6453017.093385784 8141321.039974979 
4 -6.800164616500716 2.4881988990286885 36.71715713519287 0.1693500173525409 364.8839357100913 -1.5766880504784115 -0.14310375227279631 1.2238076748525573 1.9181806078152133 -0.03683944228029795 0.0010389086905909506 -0.02178076118239105 20000.0 9005.89429305815 4.452482368911042 0.03646308913684934 -1.7195371338828374 -0.11522929928966885 9.222027589032889 1.223515658074386 0.8445158858201514 0.00047846936347642775 -5031363.638956888 -0.04975165426584046 -5031368.987025908 5.349411911331117 1 -5031368.987025908 6451579.244646932 
5 0.418328031212738 1.2648867343024384 83.51477446663864 0.3678344229876287 771.0354598086877 -2.98213327125587 -0.062020247855413685 0.9987787431442596 0.6080674110883832 -0.16112444828726794 -0.06895518831620726 0.016362037027386332 20000.0 4893.0070379856425 1.5438563473373534 1.4422826584821056 -2.9853443427669055 -0.056000774922325885 9.75618504116567 0.9784615150963408 2.59635100581617 9.661811666548647e-07 -315128.5125488637 -0.05970198511900855 -315133.8705682154 5.35801899060607 2 -315133.8705682154 5029931.128336726 
6 -21.716343341115078 2.3690654226109586 60.84589843103 0.09836715827585968 620.4784547477251 -3.0951475022380888 -0.13636119863576796 0.8081734580587625 1.559309389492647 -0.06564172111832736 -0.06576741792296292 0.0003456638467105831 20000.0 4940.84643092697 1.632666856109085 1.3492415886023132 -3.1175968270510057 -0.12813318177979421 10.0609378972476 0.7823185495418588 2.427170926545985 1.3486622861007417e-07 -240705.32590373204 -0.06965231597217664 -240710.69387341457 5.367967934784247 5 -240710.69387341457 313696.0019287021 
7 10.184767675225935 3.7435538732865217 95.11609587093437 0.374332897648449 654.0260590063247 -3.5659090833732856 0.5452509411634205 1.105022665623506 1.7958383514436507 0.20960440138403452 0.03203074789870687 0.010544280964802012 20000.0 8187.473296695087 3.184244104261645 0.6454979319115061 -3.564386323205148 0.5514494786929149 9.608675511618276 1.0899149845473581 1.8970777771500875 5.967926604811048e-05 -211527.92372251357 -0.07960264682534474 -211533.30164252696 5.377917184174294 1 -211533.30164252696 239272.81528357044 
8 22.48518489451368 5.626970101500843 22.994644384776134 0.08914721120915409 383.9316174375629 -2.935157742294688 0.08774248257382106 1.0981769866001758 1.1231745444382815 -0.21733908505520882 0.06524255045063035 0.005861578484440702 20000.0 8624.913951713219 4.438862925718389 0.019773526747339752 -3.1694469418692357 0.13443084309311137 9.423846418883805 1.0978345793695583 0.7360484643323906 0.0005641516232241556 -200791.2140095519 -0.08955297767851284 -200796.60187989613 5.387872274557594 3 -200796.60187989613 210095.41310235197 
9 2.603592658333305 5.968909516013355 66.33120645026037 0.2433268493178467 377.27364736551357 -2.547887328910509 -0.11102726973178988 0.8184200547832801 0.9408719287426002 -0.06088406517596065 0.05970239950914347 -0.0056981815808219635 20000.0 6733.266918562968 4.4854532515940475 -0.06744852640566457 -2.748867844189579 -0.05481565664506109 9.801689044097834 0.8181887012143054 0.13148859831371235 0.0006653523802524459 -199799.2264837421 -0.09950330853168093 -199804.62430441717 5.397821374092018 3 -199804.62430441717 199358.70338939028 
